kind,start,end,class,src,motivo
data,131002,131006,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,131062,131066,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,131734,131738,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,132040,132046,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,134016,134022,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,134246,134250,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,134726,134730,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,134756,134762,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,135002,135006,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,135260,135266,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,135614,135618,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,135722,135726,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,135994,135998,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,136332,136338,literal_pool,,pcrel refs 2/3 words (movax1+mov.lx1)
data,136842,136846,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,136962,136966,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,138014,138018,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,138038,138046,literal_pool,,pcrel refs 2/4 words (movax1+mov.lx1)
data,138158,138162,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,138766,138770,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,138982,138986,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,139048,139052,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,139056,139062,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,140062,140066,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,140334,140338,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,141004,141008,literal_pool,,pcrel refs 2/2 words (mov.wx2)
data,141014,141018,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,141032,141036,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,141044,141050,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,141358,141362,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,141658,141662,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,141690,141698,literal_pool,,pcrel refs 2/4 words (movax1+mov.lx1)
data,142206,142210,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,142606,142610,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,142914,142918,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,143208,143214,literal_pool,,pcrel refs 2/3 words (movax1+mov.lx1)
data,143224,143230,literal_pool,,pcrel refs 2/3 words (movax1+mov.lx1)
data,144232,144236,literal_pool,,pcrel refs 1/2 words (movax1)
data,144826,144830,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,145106,145110,padding,,all-zero word filler
data,145754,145758,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,147802,147806,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,147820,147826,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,148734,148738,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,148742,148746,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,148854,148858,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,148986,148990,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,149346,149350,padding,,all-zero word filler
data,149382,149386,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,149962,149966,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,150270,150274,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,150566,150570,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,150806,150810,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,152458,152462,padding,,all-zero word filler
